Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,TOB-2_%,TOB-2_Numerator,TOB-2/-2a_Denominator,TOB-2a_%,TOB-2a_Numerator,TOB-2/-2a__Denominator,PEoC_Measure_Description,PEoC_Assessed_Response,EHR_Use_Response,HIE_Response,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,HCP_%,HCP_Numerator,HCP_Denominator
140186,RIVERSIDE MEDICAL CENTER,350 N WALL ST ,KANKAKEE,IL,60901,Kankakee,-0.04619199504055669,12.25,2109.0,-0.04427325161065635,0,2109,,Not Available,Not Available,-4.424613303521384,13,199,-3.642299767782994,12,199,-2.1595051707965953,93,206,0.44404585298775223,206,206,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.6516245900858725,128,131,-0.8748932029916231,147,237
140189,SARAH BUSH LINCOLN HEALTH CENTER,1000 HEALTH CENTER DRIVE P O BOX 372 P.O. BOX 372,MATTOON,IL,61938,Coles,-0.050507051522764364,10.47,3457.0,-0.04427325161065635,0,3457,,Not Available,Not Available,0.37273309960012735,731,759,0.5235107991914442,722,759,0.5070707071457397,257,257,0.4175267581175771,255,256,1.1140107831041832,149,150,0.486530088051587,76,150,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,-0.524992777638969,53,109,-0.6481118181622597,27,109,0.5308918031431248,138,146,0.825715396921776,25,26
140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE ,HARVEY,IL,60426,Cook,-0.055606663729009805,0.0,1961.0,-0.04427325161065635,0,1961,,Not Available,Not Available,0.5250213291489833,236,238,0.6137466509788817,231,238,0.4861659190415424,231,232,0.44404585298775223,231,231,0.4416817453482277,36,45,0.5024665240545414,23,45,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-1.0168998195231185,24,57,,Not Available,Not Available,0.7382948352579394,119,119,,Not Available,Not Available
140206,NORWEGIAN-AMERICAN HOSPITAL,1044 N FRANCISCO AVE ,CHICAGO,IL,60622,Cook,-0.055606663729009805,0.0,3385.0,-0.04427325161065635,0,3385,,Not Available,Not Available,-2.5421170484314883,152,364,-2.061535960045556,145,364,-0.04325999364381753,384,433,0.29785084280601737,409,418,-0.5262912045094157,108,207,-0.6489409771589243,40,207,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,,Not Available,Not Available,,Not Available,Not Available,0.6523815354585547,215,220,-0.7248395029992644,80,124
140208,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,4440 W 95TH STREET ,OAK LAWN,IL,60453,Cook,0.035009522397351424,584.49,10524.0,-0.04427325161065635,0,10524,,Not Available,Not Available,0.26479547725321895,363,385,0.38698816332651287,355,385,0.4040052402134195,462,472,0.44404585298775223,477,477,0.4862022403470701,165,203,0.31050490856440727,93,203,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.30618655580583065,124,208,-0.43222020870269495,57,208,0.6379995733776,147,151,0.825715396921776,72,75
140209,METHODIST MEDICAL CENTER OF ILLINOIS,221 N E GLEN OAK AVE ,PEORIA,IL,61636,Peoria,-0.04462288359248117,132.37,20001.0,-0.02657074786721651,218.25,20001,,Not Available,Not Available,-0.022681952561815273,778,875,-0.5420203211379322,633,875,-0.011659732556078333,293,328,0.40256726870363224,326,328,-0.17325759182328274,129,207,0.5933766476168503,111,207,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,No,0.017540641827727497,101,181,-0.09648002517052014,57,181,0.4264333417130361,156,170,0.9757690969141347,181,183
140210,HARRISBURG MEDICAL CENTER,100 DR WARREN TUTTLE DRIVE ,HARRISBURG,IL,62946,Saline,-0.04736882862661333,49.83,10061.0,-0.039945972917815493,25.66,10061,-2.5467229071965427,0,12,0.556013319723838,391,392,0.7273596664418206,390,392,,Not Available,Not Available,0.44404585298775223,441,441,1.1209671104477525,213,214,2.0870553311664986,203,214,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,1.8529357335890175,173,216,0.6250740611981395,87,216,0.22432892720699424,299,346,0.825715396921776,80,83
140213,SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,1900SILVER CROSS BOULEVARD ,NEW LENOX,IL,60451,Will,-0.04383832786844341,42.3,5841.0,-0.04427325161065635,0,5841,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,-0.07048483396556253,445,505,-0.07477643895951898,472,511,-0.8501082423525584,108,252,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,0.6447032297906216,50,78,0.265528338980309,28,78,0.6247530293556687,291,300,-1.024946902983982,314,528
140223,ADVOCATE LUTHERAN GENERAL HOSPITAL,1775 DEMPSTER ST ,PARK RIDGE,IL,60068,Cook,-0.010494709596838637,295.0,10659.0,-0.04427325161065635,0,10659,,Not Available,Not Available,0.5699062810160147,621,621,0.6759299063557167,611,621,0.33740161299772264,415,430,0.3644885683772269,424,429,0.9394069667805984,116,123,1.3898362560372377,93,123,Assessment of Patient Experience of Care,No,Paper or Other Form,No,0.8948126473999205,91,135,0.5413442354761787,53,135,0.5418675110470111,146,154,1.0257869969115876,68,68
140228,SWEDISH AMERICAN HOSPITAL,1401 EAST STATE STREET ,ROCKFORD,IL,61104,Winnebago,-0.055606663729009805,1.08,198216.0,-0.04427325161065635,1.75,198216,,Not Available,Not Available,0.3641835849587882,425,442,0.3916635960616136,408,442,0.3767803998916745,290,298,0.421606618866835,298,299,0.01386761371872674,109,161,0.47349118586735145,81,161,Assessment of Patient Experience of Care,No,Certified EHR Technology,No,0.062122078803403376,75,133,-0.27461112499076923,39,133,0.59182590564401,298,310,1.0257869969115876,44,44
140239,ROCKFORD MEMORIAL HOSPITAL,2400 NORTH ROCKTON AVENUE ,ROCKFORD,IL,61103,Winnebago,-0.05207616297083988,8.24,3882.0,-0.04427325161065635,0,3882,,Not Available,Not Available,-0.7050400898737074,150,197,-0.6729324377207427,137,197,-0.12493451460905254,395,454,0.3991673847459177,450,453,-1.700867076471062,46,250,-0.8416269761037383,35,250,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,0.27520623519561566,45,76,-0.520875318290653,20,76,0.322353352969288,243,273,0.17548269695488808,24,29
140240,WESTLAKE COMMUNITY HOSPITAL,1225 WEST LAKE STREET ,MELROSE PARK,IL,60160,Cook,-0.03913099352421685,110.7,10894.0,-0.04427325161065635,0,10894,,Not Available,Not Available,-2.4470036980465886,91,209,-2.5594695463337467,61,209,0.3933097672298769,585,599,0.34204933425630957,590,599,-0.6268101346239895,205,416,-0.22553884789860923,129,416,Assessment of Patient Experience of Care,No,Paper or Other Form,No,-1.3471047001734613,40,106,-1.675033504222775,13,106,0.6573016803809862,320,327,0.27551849694979386,148,175
140242,CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD ,WINFIELD,IL,60190,DuPage,-0.04893794007468885,27.72,6905.0,-0.04427325161065635,0,6905,,Not Available,Not Available,0.507922299866305,342,346,0.6834105987318772,341,346,0.44435634283314845,459,465,0.42908636357380736,464,465,-0.5934197633748577,106,211,-0.14694324306585618,70,211,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,1.286978169270694,53,73,1.928632524398857,41,73,0.6667634975395088,156,159,0.9257511969166818,105,107
140252,NORTHWEST COMMUNITY HOSPITAL 1,800 W CENTRAL ROAD ,ARLINGTON HEIGHTS,IL,60005,Cook,-0.04462288359248117,64.4,9659.0,-0.033258360392516007,64.4,9659,-2.5467229071965427,0,23,-2.600360616925612,183,450,-2.085380666994568,177,450,-0.7316595274936533,272,365,0.38828775608123073,362,365,-1.4027884497991252,41,152,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,1.3051129910913086,59,81,1.169317928390882,38,81,-0.2748765460766557,238,325,-0.07460680303237649,130,166
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD ,ELK GROVE VILLAGE,IL,60007,Cook,-0.054822108004972045,2.2,5438.0,-0.04427325161065635,0,5438,,Not Available,Not Available,0.5041818872107187,400,405,0.49732837587488177,383,405,0.4910274976704258,302,303,0.40052733832900334,310,312,,Not Available,Not Available,-1.3486953943795645,0,11,Assessment of Patient Experience of Care,No,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.700069093937508,98,99,-0.07460680303237649,78,100
140281,NORTHWESTERN MEMORIAL HOSPITAL,211 E ONTARIO ST SUITE 1550,CHICAGO,IL,60611,Cook,-0.05011477366074549,26.83,8072.0,-0.04151952880612126,13.09,8072,,Not Available,Not Available,0.2044145300987597,218,234,0.23176379652118054,208,234,0.46769192025178713,490,494,0.32776982163390805,461,469,0.6319372981948431,100,117,0.6944281395446756,66,117,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.8200065073898889,91,137,0.6743268998581162,56,137,0.6527600081448952,303,310,0.8757332969192289,177,183
140288,ADVOCATE GOOD SAMARITAN HOSPITAL,3815 S HIGHLAND AVENUE ,DOWNERS GROVE,IL,60515,DuPage,0.008334627780067591,365.98,9368.0,-0.04427325161065635,0,9368,,Not Available,Not Available,0.07510312114850279,343,378,-0.2011812747491149,301,378,0.42102076541451045,555,565,0.38420789533197286,564,569,-0.012218613819657468,160,239,0.42423311094912836,117,239,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.2306247982199398,68,116,0.007771816659763944,38,116,0.7136941106457805,152,153,0.6756616969294172,70,75
140292,ADVENTIST GLENOAKS HOSPITAL,701 WINTHROP AVENUE ,GLENDALE HEIGHTS,IL,60139,DuPage,0.03108674377716262,1003.07,18911.0,-0.04427325161065635,0,18911,,Not Available,Not Available,0.5624254557048428,725,726,0.7254894933477809,722,726,0.17696951824458249,467,501,-1.2388967060810512,371,493,-1.05253736805042,90,243,-0.8122894461892083,36,243,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,,Not Available,Not Available,,Not Available,Not Available,0.7042322934872579,330,333,-0.3246963030196411,110,150
144016,ALTON MENTAL HEALTH CENTER,4500 COLLEGE AVENUE ,ALTON,IL,62002,Madison,0.01578790715842631,231.67,5313.0,-0.042699695722350585,5.33,5313,,0,0,0.16647605887781694,49,53,0.3103110664708666,48,53,0.5070707071457397,34,34,-1.1559395375128112,26,34,1.13731447970514,12,12,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.19745736647678988,12,14,-2.5254839029075695,84,292
140304,ADVENTIST BOLINGBROOK HOSPITAL,500 REMINGTON BOULEVARD ,BOLINGBROOK,IL,60440,Will,,,,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Not Available,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available
141315,ILLINI COMMUNITY HOSPITAL,640 W WASHINGTON ,PITTSFIELD,IL,62363,Pike,-0.03010860269778262,3.0,191.0,-0.04427325161065635,0,191,,0,0,0.5699062810160147,23,23,-0.06185337924312337,19,23,0.5070707071457397,25,25,0.44404585298775223,27,27,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Paper or Other Form,Yes,,Not Available,Not Available,,Not Available,Not Available,0.7382948352579394,21,21,,Not Available,Not Available
144005,AURORA CHICAGO LAKESHORE HOSPITAL,4840 N MARINE DR ,CHICAGO,IL,60640,Cook,-0.05011477366074549,137.83,41265.0,-0.04151952880612126,69.26,41265,-0.5708489144476414,14,25,-4.623389518932522,1158,41265,-3.7951864182207764,1138,41265,-3.256277309472604,882,3904,-4.81965449034623,882,3904,-2.0208581342752416,359,3904,-1.0154790052268787,359,3904,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-0.7902145467654459,60,133,-0.6448282955849279,33,133,-3.0464320281510826,0,2436,-0.7248395029992644,335,515
144009,"AERIES HEALTHCARE OF ILLINOIS, INC., DBA RIVEREDGE HOSPITAL",8311 WEST ROOSEVELT ROAD ,FOREST PARK,IL,60130,Cook,-0.05246844083285876,71.61,39357.0,-0.04427325161065635,.7,39357,0.9816235084264955,47,47,0.5175405038378114,1217,1229,0.59504492003848,1188,1229,0.32913692932862143,369,383,0.10677736438244903,364,383,0.19229741008127457,126,173,0.15874657480899906,72,173,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-1.0221891425541307,140,333,-1.1775798337570096,61,333,-0.13559859750320394,353,459,-1.3750722029661524,168,322
144010,CHICAGO READ MENTAL HEALTH CENTER,4200 N OAK PARK AVE ,CHICAGO,IL,60634,Cook,-0.04266149428238677,61.5,7801.0,-0.04427325161065635,0,7801,,0,0,0.5699062810160147,77,77,0.5085494144391233,73,77,0.19009578054256712,258,276,-1.6006443591819006,193,276,0.807932379987142,86,95,1.0533601413384928,63,95,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.3261380798326968,90,101,-2.125340702927946,121,325
144021,ANDREW MCFARLAND MENTAL HLTH CTR,901 SOUTHWIND RD ,SPRINGFIELD,IL,62703,Sangamon,-0.05246844083285876,98.48,49228.0,-0.04427325161065635,0,49228,,Not Available,Not Available,-0.2209238233078698,259,304,-0.1562971204921509,245,304,0.5070707071457397,278,278,-1.7570390212367801,188,278,1.0820116773237654,62,63,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-0.42071755217043943,21,42,,Not Available,Not Available,0.6016661954888737,80,83,-1.4250901029636052,173,338
144026,HARTGROVE HOSPITAL,5730 W ROOSEVELT ROAD ,CHICAGO,IL,60644,Cook,-0.0536452744189154,56.15,43132.0,-0.04112613983404482,82.33,43132,-0.46182301020488936,13,22,0.5613567663746756,1215,1217,0.2785181238721844,1094,1217,0.4808181825497711,366,368,0.31485026259459115,361,368,0.8715827751807994,133,144,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-1.4377788092765307,38,104,-1.1028796951227116,20,104,0.585013397289874,426,444,-1.074964802981435,289,498
144028,MADDEN MENTAL HEALTH CENTER,1200 S FIRST AVE ,HINES,IL,60141,Cook,-0.03560049276604693,101.83,8280.0,-0.04230630675027414,10.38,8280,,0,0,0.3347946283791838,413,432,0.5454853330464159,413,432,0.4555379736795796,466,471,-0.4222445794379669,411,471,1.0955765156437252,246,249,0.8769727701239733,153,249,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.5074264965899892,154,164,-0.6748216030018114,281,429
144029,THE PAVILION,809 W CHURCH ST ,CHAMPAIGN,IL,61820,Champaign,-0.0536452744189154,26.61,21627.0,-0.04073275086196838,47.11,21627,,Not Available,Not Available,0.5699062810160147,833,833,0.3921311393351232,769,833,0.5070707071457397,255,255,0.44404585298775223,255,255,0.9693191743579456,138,145,0.8994286572190455,90,145,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.5978549400873694,73,115,0.03075647470108652,38,115,0.29548179223908366,347,393,,Not Available,Not Available
144031,ALEXIAN BROTHERS BEHAVIORAL HLTH HOSP,1650 MOON LAKE BLVD ,HOFFMAN ESTATES,IL,60194,Cook,-0.05089932938478325,133.15,46615.0,-0.04348647366650347,21.1,46615,,Not Available,Not Available,0.3070087057948313,928,976,-0.29328729963059236,758,976,0.48033202468688324,725,729,0.4250065028245495,723,725,-0.13917158783979416,169,267,0.3061586078363286,122,267,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.37268090248141483,265,438,0.2606030551143117,157,438,0.2542282694279252,484,555,0.7256795969268701,995,1063
144034,BHC STREAMWOOD HOSPITAL INC,1400 E IRVING PARK ROAD ,STREAMWOOD,IL,60107,Cook,-0.05325299655689652,53.85,36967.0,-0.04112613983404482,69.45,36967,,Not Available,Not Available,0.5335708437903224,1028,1035,0.6834105987318772,1020,1035,0.12738141622997592,59,64,0.23189309402635125,62,64,1.0131440366224314,27,28,1.4970450073298407,22,28,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.6724405878346226,453,461,-0.5747858030069056,209,307
144035,LINDEN OAKS AT EDWARD,801 SOUTH WASHINGTON ST ,NAPERVILLE,IL,60540,DuPage,-0.05246844083285876,177.33,98051.0,-0.04387986263857991,24.03,98051,,Not Available,Not Available,0.35296234699202994,993,1035,0.36735134583909185,950,1035,0.36462645331946697,2053,2115,0.33932942709013736,2050,2082,0.8980168190863622,677,727,1.2069294337306005,513,727,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,1.185725414105601,181,254,1.2292422154271876,121,254,0.6728190605209631,2161,2199,0.825715396921776,757,785
144037,ELGIN MENTAL HEALTH CENTER,750 S STATE ST ,ELGIN,IL,60123,Kane,-0.050507051522764364,42.48,13552.0,-0.04387986263857991,2.58,13552,,0,0,0.46250300333418953,146,149,0.5941098334914601,144,149,0.4710950252920056,536,540,0.3556488700871688,533,540,1.13731447970514,198,198,2.20005915009654,194,198,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.1300892283081098,235,280,-1.6751796029508699,410,901
144038,CHOATE MENTAL HEALTH & DEVELOPMENT CTR,1000 N MAIN ST ,ANNA,IL,62906,Union,-0.050507051522764364,62.67,20653.0,-0.04427325161065635,1,20653,,Not Available,Not Available,0.5346395331204903,150,151,0.6894886612875081,149,151,0.5070707071457397,116,116,-0.029217993926141154,107,115,0.816975605533782,69,76,-0.3479596517394874,21,76,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.4006387527881942,14,23,,Not Available,Not Available,0.7382948352579394,24,24,-0.5747858030069056,154,225
144039,GARFIELD PARK HOSPITAL,520 N RIDGEWAY AVE ,CHICAGO,IL,60624,Cook,-0.041092382834311256,77.68,8793.0,-0.01909635739776413,134.6,8793,,Not Available,Not Available,0.5597537323794244,513,514,0.42392408193380615,478,514,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,-0.45730038089297076,301,440,-1.8752512029406814,58,137
144040,CHICAGO BEHAVIORAL HOSPITAL,555 WILSON LANE ,DES PLAINES,IL,60016,Cook,-0.05521438586699092,2.48,17581.0,-0.04348647366650347,9.98,17581,,Not Available,Not Available,0.07456877648341957,597,658,0.26823217185496356,590,658,0.20127741138899757,298,318,0.06189889614061353,302,320,0.7957588071358962,101,112,1.9175496027714374,101,112,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,-1.8088263438163321,104,318,-1.6751796029508699,91,198
150082,DEACONESS HOSPITAL INC,600 MARY STREET ,EVANSVILLE,IN,47747,Vanderburgh,-0.03481593704200917,56.28,4397.0,-0.018702968425687687,68.48,4397,,Not Available,Not Available,0.3337259390490166,216,226,0.2341015128887306,201,226,0.45407950009091463,364,368,0.44404585298775223,369,369,0.9881012581855819,223,233,0.9052237248564834,145,233,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,0.051543432741378604,54,96,0.22612606805232785,34,96,0.7246698185496668,278,279,0.8757332969192289,271,280
150002,METHODIST HOSPITALS INC,600 GRANT ST ,GARY,IN,46402,Lake,-0.055606663729009805,0.0,4830.0,-0.034438527308745324,29,4830,,Not Available,Not Available,0.32677945840292866,168,176,0.5384721839437657,168,176,,Not Available,Not Available,0.44404585298775223,140,140,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Paper or Other Form,No,-0.42071755217043943,17,34,,Not Available,Not Available,-2.339066577379936,77,412,0.27551849694979386,34,40
150004,FRANCISCAN ST. MARGARET HEALTH HAMMOND,5454 HOHMAN AVENUE ,HAMMOND,IN,46320,Lake,0.07541414218529602,731.0,9131.0,-0.042699695722350585,9.1,9131,0.5112949312239445,13,15,-0.2011530706997732,498,582,-0.12216646152591856,457,562,-0.789512313177361,33,45,0.44404585298775223,45,45,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,0.03265299334490589,70,125,-0.3172969184960824,36,125,-0.09207423857399996,121,155,1.0257869969115876,165,165
150009,CLARK MEMORIAL HOSPITAL,1220 MISSOURI AVE ,JEFFERSONVILLE,IN,47130,Clark,-0.041484660696330125,22.78,2640.0,0.0005730912060579148,71.97,2640,,Not Available,Not Available,0.5490668390777501,254,255,-0.7154788756101567,175,255,0.27274261723357857,237,249,0.2774515390597291,239,245,-0.09012948006763195,33,51,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,No,,Not Available,Not Available,,Not Available,Not Available,-0.09396660200570436,110,141,0.9257511969166818,2717,2785
150015,FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY,301 W HOMER ST ,MICHIGAN CITY,IN,46360,LaPorte,-0.027362657663650466,48.96,2837.0,-0.025390580950987184,32.8,2837,,Not Available,Not Available,-0.41809700472375716,216,265,-0.21894791914249612,210,265,-0.30335445028905933,230,276,0.15845560053971267,274,286,-0.16977942815149813,93,149,0.4014150321267161,72,149,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.37494775520899165,46,76,1.098722192978249,35,76,0.49758620674512555,221,236,0.9757690969141347,75,76
150018,ELKHART GENERAL HOSPITAL,600 EAST BOULEVARD ,ELKHART,IN,46514,Elkhart,-0.045799717178537806,11.52,1955.0,-0.03247158244836312,14.2,1955,,Not Available,Not Available,-2.3802106149111255,146,326,-2.1316674510720617,125,326,0.5070707071457397,220,220,0.35088903254636766,216,219,-1.7290402022125169,19,108,-0.8792949157470854,14,108,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,1.7939975626720226,23,29,1.5641615183150293,15,29,0.658437098440009,232,237,0.9757690969141347,86,87
150021,PARKVIEW REGIONAL MEDICAL CENTER,11109 PARKVIEW PLAZA DRIVE ,FORT WAYNE,IN,46845,Allen,-0.05521438586699092,5.32,21769.0,-0.039945972917815493,55.55,21769,0.7381676057485057,27,29,0.40693115816548453,922,951,0.5683949534484082,910,947,0.21343135796120513,389,414,0.44404585298775223,419,419,-1.8925138947863913,29,225,-1.1393485759771163,13,225,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,0.2019113303373016,198,340,-0.43632461192435945,93,340,-0.11856732661786322,311,402,0.3255363969472468,607,708
150022,FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE,1710 LAFAYETTE RD ,CRAWFORDSVILLE,IN,47933,Montgomery,-0.055606663729009805,0.0,1689.0,-0.04427325161065635,0,1689,,Not Available,Not Available,-3.8053078366893685,27,149,-3.2336669467352213,22,149,0.013134318451225301,115,128,-0.3501670395344149,121,137,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,-0.9818635241614612,18,33,1.0257869969115876,19,19
150024,ESKENAZI HEALTH,720 ESKENAZI AVE ,INDIANAPOLIS,IN,46202,Marion,-0.05089932938478325,441.27,158472.0,-0.04151952880612126,269.62,158472,,Not Available,Not Available,0.5699062810160147,220,220,0.6235650597225922,214,220,-3.3428134090667214,67,322,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,1.1471889177367964,104,147,0.9485010350653199,65,147,,Not Available,Not Available,0.6256437969319644,61,66
150037,HANCOCK REGIONAL HOSPITAL,801 N STATE ST ,GREENFIELD,IN,46140,Hancock,-0.055606663729009805,0.0,2610.0,-0.04427325161065635,0,2610,0.9816235084264955,17,17,0.5699062810160147,223,223,0.7512043733908328,223,223,0.5070707071457397,223,223,0.44404585298775223,223,223,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,,Not Available,Not Available,,Not Available,Not Available,0.7382948352579394,330,330,0.6256437969319644,24,26
150042,GOOD SAMARITAN HOSPITAL,520 SOUTH 7TH STREET ,VINCENNES,IN,47591,Knox,0.015003351434388553,183.17,4231.0,-0.04427325161065635,0,4231,,Not Available,Not Available,0.4699838286453614,630,642,0.5543686552431071,615,642,0.377266557754563,401,412,0.42908636357380736,448,449,1.0364477332233875,268,276,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,1.0716271601509055,83,119,-1.0257169145554146,24,119,0.5168883137485117,338,359,0.9257511969166818,509,521
150046,TERRE HAUTE REGIONAL HOSPITAL,3901 S 7TH ST ,TERRE HAUTE,IN,47802,Vigo,-0.05325299655689652,11.48,7882.0,-0.04427325161065635,0,7882,,Not Available,Not Available,0.5501355284079174,271,272,0.7339052722709611,271,272,0.49880602347663844,579,580,0.44404585298775223,580,580,1.1279234377913219,366,367,-0.7764324651825606,58,367,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,0.9854867565029898,94,137,1.2136454831848618,65,137,0.7382948352579394,361,361,0.7256795969268701,412,439
154020,REGIONAL MENTAL HEALTH CENTER,8555 TAFT ST ,MERRILLVILLE,IN,46410,Lake,-0.03167771414585814,52.16,3583.0,-0.04427325161065635,0,3583,-0.3686746648324414,50,81,0.42403018744816273,392,403,0.6235650597225922,392,403,-0.047635414409812414,357,403,-3.1496314903167435,190,403,1.13731447970514,118,118,-0.05965503677694594,42,118,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,No,2.4967219082208074,70,79,4.072772767396511,65,79,,Not Available,Not Available,-2.3754302029152106,18,57
150047,ST JOSEPH HOSPITAL,700 BROADWAY ,FORT WAYNE,IN,46802,Allen,3.006906605052384,10703.0,5712.0,-0.04427325161065635,0,5712,,Not Available,Not Available,0.38181695890655043,247,256,0.40428726444638446,237,256,0.3451801388039353,145,150,0.44404585298775223,152,152,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,No,,Not Available,Not Available,,Not Available,Not Available,0.661086407244395,192,196,-1.074964802981435,38,66
150048,REID HOSPITAL & HEALTH CARE SERVICES,1100 REID PKWY ,RICHMOND,IN,47374,Wayne,-0.029716324835763742,188.62,11946.0,-0.034831916280821766,70.18,11946,-0.36761616090775445,21,34,0.5565476643889221,802,804,0.6057984153292111,779,804,0.4730396567435584,564,568,0.3651685451687701,512,518,,Not Available,Not Available,-1.3486953943795645,0,133,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,0.39686066490889993,59,97,-0.05789863488687149,31,97,0.22849212675674413,289,334,-1.8252333029432286,49,114
